Date,Open,High,Low,Close,Volume,Adj Close
2015-08-24,94.870003,113.309998,92.00,113.290001,100072600,110.351883
2015-08-17,116.040001,117.650002,105.650002,105.760002,63933600,103.017174
2015-08-10,116.529999,119.989998,109.629997,115.959999,68943400,112.952637
2015-08-03,121.50,122.57,112.099998,115.519997,77000100,112.524048
2015-07-27,123.089996,123.910004,120.910004,121.300003,38319700,117.62175
2015-07-20,130.970001,132.970001,121.989998,124.50,68853800,120.724709
2015-07-13,125.029999,129.619995,124.32,129.619995,37848900,125.689445
2015-07-06,124.940002,126.230003,119.220001,123.279999,54988900,119.541702
2015-06-29,125.459999,126.940002,124.480003,126.440002,37745400,122.605881
2015-06-22,127.489998,129.800003,126.510002,126.75,39118800,122.906479
2015-06-15,126.099998,128.309998,125.709999,126.599998,39705000,122.761024
2015-06-08,128.899994,130.179993,125.620003,127.169998,44022900,123.313744
2015-06-01,130.279999,131.389999,128.360001,128.649994,34149300,124.748863
2015-05-26,132.600006,132.910004,129.119995,130.279999,49537100,126.329437
2015-05-18,128.380005,132.970001,128.360001,132.539993,43459400,128.520905
2015-05-11,127.389999,129.490005,124.82,128.770004,41660300,124.865234
2015-05-04,129.50,130.570007,123.360001,127.620003,54378400,123.750099
2015-04-27,132.309998,134.539993,124.580002,128.949997,84194400,124.519638
2015-04-20,125.57,130.630005,125.169998,130.279999,41488100,125.803947
2015-04-13,128.369995,128.570007,124.459999,124.75,34237200,120.463943
2015-04-06,124.470001,128.119995,124.330002,127.099998,36441500,122.7332
2015-03-30,124.050003,126.489998,123.099998,125.32,40507900,121.014359
2015-03-23,127.120003,128.039993,122.599998,123.25,41865200,119.01548
2015-03-16,123.879997,129.25,122.870003,125.900002,53334500,121.574432
2015-03-09,127.959999,129.570007,121.629997,123.589996,65302800,119.343788
2015-03-02,129.25,130.279999,125.760002,126.599998,49387700,122.250381
2015-02-23,130.020004,133.600006,126.610001,128.460007,73643200,124.046478
2015-02-17,127.489998,129.50,126.919998,129.50,48588700,125.050743
2015-02-09,118.550003,127.480003,118.43,127.080002,60641300,122.71389
2015-02-02,118.050003,120.510002,116.080002,118.93,54151400,114.843903
2015-01-26,113.739998,120.00,109.029999,117.160004,93168500,112.68998
2015-01-20,107.839996,113.75,106.50,112.980003,49684200,108.669456
2015-01-12,112.599998,112.800003,105.199997,105.989998,60721400,101.946144
2015-01-05,108.290001,113.25,104.629997,112.010002,56650500,107.736465
2014-12-29,113.790001,114.769997,107.349998,109.330002,38022100,105.158714
2014-12-22,112.160004,114.519997,111.970001,113.989998,29849100,109.640915
2014-12-15,110.699997,113.239998,106.260002,111.779999,65771300,107.515236
2014-12-08,114.099998,114.849998,109.349998,109.730003,51973600,105.543457
2014-12-01,118.809998,119.25,111.269997,115.00,53317900,110.612389
2014-11-24,116.849998,119.75,116.620003,118.93,45468400,114.392441
2014-11-17,114.269997,117.57,113.300003,116.470001,46682900,112.026299
2014-11-10,109.019997,114.190002,108.400002,114.18,41033300,109.823669
2014-11-03,108.220001,110.300003,107.720001,109.010002,39990500,104.850922
2014-10-27,104.849998,108.040001,104.699997,108.00,44046100,103.430954
2014-10-20,98.32,105.489998,98.220001,105.220001,71706500,100.76857
2014-10-13,101.330002,101.779999,95.18,97.669998,71707900,93.537979
2014-10-06,99.949997,102.379997,98.309998,100.730003,56051600,96.468529
2014-09-29,98.650002,101.540001,98.040001,99.620003,49549800,95.405487
2014-09-22,101.800003,102.940002,97.720001,100.75,67764900,96.487679
2014-09-15,102.809998,103.050003,98.889999,100.959999,59470500,96.688789
2014-09-08,99.300003,103.080002,96.139999,101.660004,92410300,97.359184
2014-09-02,103.059998,103.739998,97.790001,98.970001,80790000,94.782982
2014-08-25,101.790001,102.900002,100.699997,102.50,47769200,98.163643
2014-08-18,98.489998,101.470001,97.980003,101.32,49466400,97.033562
